200 9950
191 38 12
146 187 100
12 188 67
82 105 96
86 175 13
147 59 29
87 6 38
145 39 73
51 131 54
28 180 37
21 117 10
88 138 39
137 18 67
197 155 92
148 72 37
176 10 1
73 167 54
145 16 23
168 148 54
158 25 91
178 30 39
175 13 10
101 179 82
73 130 36
30 61 70
112 38 41
111 14 24
92 40 43
151 193 22
90 95 72
109 103 70
20 31 41
113 102 64
95 80 70
197 69 39
49 16 43
155 130 15
95 77 15
172 96 23
122 107 87
12 119 62
72 186 4
187 186 38
86 58 75
105 94 56
99 54 86
76 26 8
191 196 61
163 21 87
180 10 56
102 77 78
14 1 38
148 118 89
26 30 44
10 134 30
63 134 12
40 197 63
135 156 33
26 192 18
195 114 45
84 190 22
197 48 70
190 54 42
74 152 27
58 61 71
80 138 87
132 199 9
76 52 3
69 162 83
118 124 79
153 95 12
127 142 31
59 196 56
145 187 17
195 150 91
105 98 88
67 2 18
61 187 89
53 161 16
195 140 77
79 189 27
68 19 16
88 54 91
196 195 45
78 138 65
75 97 36
74 164 2
196 136 54
77 155 59
48 7 75
32 109 17
32 168 73
87 164 75
140 108 3
110 100 10
133 164 75
116 76 79
83 37 78
196 54 86
21 19 73
54 143 97
41 183 28
76 115 90
103 100 64
197 71 9
78 179 4
97 49 9
47 6 31
34 44 34
51 44 69
76 43 77
0 44 16
100 51 90
172 142 74
194 75 20
96 140 80
51 197 22
25 149 14
108 101 28
88 35 19
118 175 87
192 116 75
18 63 70
16 183 55
170 97 54
89 104 41
4 176 10
22 140 14
116 77 27
113 111 59
16 187 78
63 188 21
104 28 30
1 184 33
199 152 27
147 172 61
88 169 59
46 29 83
147 158 39
63 107 66
39 112 74
99 149 53
89 150 70
72 93 72
107 135 52
88 186 32
67 0 38
2 139 99
192 192 83
50 145 23
3 99 79
134 53 31
131 57 56
96 88 15
116 176 60
132 152 61
107 44 19
27 168 84
130 152 14
82 86 22
181 75 45
13 96 13
45 135 80
117 81 11
184 186 29
128 117 89
82 187 33
89 178 11
76 65 26
176 171 3
115 105 77
122 77 30
11 10 67
159 164 23
119 181 93
21 128 66
126 25 33
96 25 41
179 163 31
190 2 24
147 62 23
124 193 15
50 56 46
148 155 90
130 83 69
6 27 27
63 174 99
184 190 40
33 120 91
52 71 82
198 8 49
101 150 62
37 21 64
177 153 51
3 132 52
158 58 11
9 13 50
21 26 88
164 20 20
38 56 33
65 54 16
40 43 27
78 58 13
149 88 14
175 153 2
123 57 74
154 174 85
74 113 39
113 52 91
156 102 17
18 10 12
181 45 96
7 127 68
170 120 97
89 132 24
115 154 2
43 8 95
139 156 96
107 31 56
83 106 69
142 195 36
58 152 25
112 115 62
125 50 74
10 75 33
53 113 38
54 191 67
185 188 26
161 101 74
128 1 83
92 1 98
144 191 49
0 116 30
64 138 76
13 192 81
100 154 41
34 196 88
195 40 80
105 16 99
43 196 2
62 88 10
131 83 58
143 125 21
4 11 67
121 4 76
180 123 74
130 150 75
6 100 71
61 159 13
122 35 48
125 118 41
91 165 1
33 51 83
4 31 13
54 192 78
57 188 10
148 175 85
146 41 43
28 139 60
136 3 68
172 186 64
50 79 94
50 39 47
91 7 73
37 191 5
132 43 88
84 116 8
36 197 85
14 15 14
192 78 65
131 145 88
49 138 23
123 117 92
29 4 80
135 58 32
130 134 74
77 82 47
129 90 9
101 10 7
51 114 94
175 64 83
103 27 21
126 176 97
170 73 57
142 147 77
0 106 12
38 120 10
168 130 39
19 1 52
166 132 44
52 169 8
107 72 4
34 93 1
4 16 88
46 185 49
153 18 37
153 53 78
179 175 24
65 163 77
166 99 96
91 50 62
14 59 35
101 32 86
84 101 34
190 59 44
24 154 21
105 107 90
189 71 32
98 44 18
139 50 88
9 97 44
18 173 39
63 83 4
132 5 64
156 193 93
80 170 60
74 123 67
84 160 76
112 82 26
159 47 91
155 160 13
193 58 81
88 73 90
8 156 20
180 20 61
199 97 58
44 153 15
20 80 83
78 82 93
58 116 56
70 117 11
119 27 63
52 155 17
55 58 3
4 80 98
99 50 75
159 169 50
42 194 19
138 185 78
1 58 13
140 10 53
76 86 54
77 135 98
70 133 62
59 26 74
25 71 24
72 39 22
18 87 95
92 110 82
87 162 40
108 134 41
9 101 79
75 179 93
93 180 41
115 199 89
138 109 16
7 4 65
179 199 17
139 62 85
69 66 50
14 99 31
141 198 56
107 10 63
1 179 59
146 159 41
127 9 20
161 112 1
17 105 30
63 26 3
72 17 30
86 69 37
83 137 54
46 42 6
11 65 44
25 73 30
73 13 14
0 58 32
133 195 26
91 138 71
146 28 63
184 31 88
120 107 77
113 84 59
176 54 90
120 82 61
122 186 10
151 161 74
30 161 83
139 182 47
36 76 56
107 147 92
181 64 18
95 15 81
31 116 50
52 49 12
42 126 26
14 158 27
140 182 90
4 41 37
0 15 7
138 118 93
97 50 78
141 81 22
49 3 62
41 79 77
40 149 98
172 175 52
16 110 63
190 25 86
140 4 43
122 179 76
43 56 86
187 43 67
101 142 15
159 62 64
178 182 30
185 93 74
96 60 76
94 101 30
95 47 11
193 158 7
138 180 36
144 178 80
34 123 53
98 31 84
176 165 59
166 18 44
94 18 18
187 11 96
159 3 17
48 90 8
21 132 3
150 141 22
115 162 79
169 44 11
0 14 99
151 81 38
144 7 41
185 10 41
31 151 60
71 185 79
159 171 53
35 61 55
167 190 58
61 63 97
59 70 20
29 79 8
14 52 18
187 65 37
76 16 63
1 182 27
25 117 61
177 162 86
25 103 75
9 25 94
100 140 4
197 7 7
43 26 13
117 125 27
45 36 83
49 49 11
189 135 49
47 115 56
130 37 60
5 174 82
134 79 58
156 115 37
148 103 63
150 102 28
75 41 85
88 71 46
136 101 53
106 181 86
98 62 92
81 193 81
195 86 56
108 185 56
103 152 16
129 116 12
5 183 54
151 110 78
121 85 82
77 130 40
9 182 65
185 154 17
156 38 28
187 20 39
146 175 86
62 103 91
102 158 15
156 164 40
92 50 38
185 78 1
81 184 4
192 0 14
167 171 43
100 173 11
172 135 16
14 132 54
59 129 41
63 21 79
109 22 72
180 56 44
4 120 9
69 186 72
110 43 25
67 149 89
90 112 39
161 100 50
21 164 12
132 101 58
2 129 53
135 197 85
3 21 20
97 44 33
155 166 50
188 131 49
189 29 55
110 40 46
48 86 72
145 75 83
74 169 26
113 116 17
130 151 35
196 122 57
60 43 4
77 136 85
102 154 96
61 122 20
183 64 3
169 31 55
134 9 45
109 6 93
191 21 65
151 129 33
43 186 82
52 48 29
33 144 5
169 82 5
9 31 1
138 113 18
63 124 38
80 15 90
60 6 99
81 101 71
97 62 11
127 143 43
121 89 3
40 117 96
127 145 45
127 20 33
64 97 11
181 32 99
48 157 12
181 156 41
166 141 55
180 184 100
52 89 9
69 34 55
97 150 81
61 179 83
78 134 45
63 40 87
131 194 34
85 47 48
127 71 1
29 10 33
108 20 91
188 197 10
37 176 57
151 102 50
58 79 16
177 196 30
132 105 23
54 43 44
134 123 8
175 173 12
62 23 1
0 60 43
166 191 2
87 37 69
189 20 28
68 149 14
56 2 3
150 93 69
41 37 72
165 36 44
86 162 13
32 192 96
26 194 58
48 160 57
11 30 72
159 7 97
153 155 35
0 83 90
72 46 89
94 75 52
46 156 68
5 199 16
50 135 95
8 160 83
53 120 16
135 8 82
97 61 71
51 104 87
102 48 1
158 80 26
183 169 32
189 56 100
14 168 76
191 48 79
8 174 8
174 6 70
35 127 82
56 72 76
161 182 67
170 190 52
15 76 48
132 173 69
155 89 58
83 27 60
24 72 68
64 59 2
44 188 84
101 181 33
93 168 20
147 195 86
141 110 95
105 152 45
47 142 18
83 186 26
47 82 49
123 142 80
195 157 67
33 58 58
24 164 2
91 70 58
147 182 96
150 87 84
103 79 34
116 134 1
139 25 19
195 189 73
131 12 27
72 142 84
69 129 49
179 137 27
156 189 2
144 115 47
100 169 22
131 45 85
109 83 12
167 29 24
65 174 23
143 115 61
53 45 100
196 49 73
194 171 30
14 110 75
147 29 68
143 159 84
25 144 4
136 103 67
79 22 30
132 52 89
138 142 1
178 162 76
86 151 32
121 82 77
172 8 24
177 55 13
135 111 55
102 189 77
47 57 75
13 167 82
88 119 54
39 13 85
156 52 58
114 119 98
184 105 7
61 167 86
64 93 37
94 38 63
82 139 37
153 128 40
53 74 68
31 149 98
43 68 22
17 175 39
26 133 18
160 95 43
164 107 85
164 177 80
128 87 89
141 102 18
176 60 59
81 143 65
64 119 82
42 94 7
157 106 98
49 147 85
4 101 24
78 88 59
122 18 65
146 192 65
138 73 31
81 199 18
160 97 84
5 92 28
70 38 54
167 145 96
121 114 20
47 79 44
52 34 78
80 153 61
33 54 61
172 53 90
106 68 31
20 163 72
185 90 54
158 31 96
198 1 73
96 193 83
181 165 10
7 89 77
130 137 30
172 106 76
25 168 21
80 91 16
142 63 51
54 85 38
29 102 98
166 5 93
18 112 98
94 108 97
60 142 66
131 121 57
57 118 85
182 23 37
118 144 2
118 23 94
60 141 4
184 9 90
172 164 92
42 48 33
142 125 64
109 45 34
93 138 73
103 105 20
46 157 28
156 136 5
31 189 10
74 176 47
84 138 26
88 87 18
131 160 34
158 199 82
24 92 14
68 58 26
56 120 74
124 198 92
81 186 48
185 141 57
170 172 63
122 153 94
24 135 82
159 121 87
174 132 81
66 187 70
134 3 59
81 33 81
82 108 72
122 123 22
159 20 39
38 6 96
148 198 50
162 185 3
144 123 8
174 133 30
93 43 10
23 173 63
199 127 61
78 166 57
172 168 73
181 110 6
186 159 99
3 155 50
36 82 43
118 15 18
113 150 7
137 111 29
115 110 76
193 51 28
36 118 5
193 192 32
12 199 4
58 31 12
165 26 20
109 85 60
195 66 50
10 30 36
129 80 53
183 146 61
28 36 12
64 160 30
138 19 86
68 138 45
91 6 17
96 57 2
166 98 35
133 176 55
120 16 9
116 160 93
59 60 36
121 102 80
79 126 42
42 75 78
101 24 72
63 62 49
150 104 69
114 137 51
150 151 15
39 175 40
123 110 74
155 86 74
75 149 95
185 7 93
188 16 19
176 97 11
54 180 81
105 123 9
73 74 5
134 35 43
60 166 28
50 172 66
61 199 99
191 109 12
110 169 78
109 75 4
106 178 12
9 152 4
85 143 25
183 191 61
73 89 54
164 131 63
91 14 49
39 182 83
110 71 76
57 27 77
71 92 25
45 13 25
184 121 28
7 171 3
99 44 35
81 30 85
78 172 58
139 5 99
108 8 45
72 192 74
184 97 74
67 100 82
37 135 2
151 23 48
41 115 76
9 196 41
91 135 1
186 105 44
163 183 71
181 139 84
9 75 58
143 99 34
28 135 32
20 109 33
3 125 63
153 184 86
74 179 86
161 50 28
68 165 55
3 65 95
16 86 16
29 104 30
152 150 69
161 191 56
88 114 95
63 31 34
27 19 17
146 152 90
67 154 23
38 138 82
68 150 14
119 180 63
92 187 97
155 56 57
137 91 45
21 138 73
159 142 84
50 170 18
190 100 88
27 4 76
181 0 74
97 119 96
163 174 3
178 95 9
161 104 24
46 127 93
93 33 65
151 49 40
9 7 51
97 34 1
38 99 97
173 156 99
133 28 28
92 90 11
100 20 78
143 190 37
86 97 76
25 111 23
24 79 79
137 34 1
157 189 3
170 116 47
82 39 45
123 65 14
12 39 99
18 43 33
70 152 29
87 50 78
7 154 32
22 17 7
170 31 43
103 56 89
160 139 46
47 61 13
94 109 89
6 115 57
93 78 95
105 176 56
137 106 36
21 104 2
151 167 93
179 83 84
114 166 77
0 129 65
103 165 69
14 163 3
58 35 46
65 134 72
128 81 82
180 166 88
55 168 13
109 178 46
179 144 18
192 43 23
184 112 73
48 178 75
126 24 71
40 127 41
153 84 46
160 52 34
30 56 47
151 186 95
73 194 45
136 110 17
97 66 71
117 135 89
59 164 17
94 11 8
194 124 79
96 115 70
167 24 5
34 14 16
186 40 75
159 190 34
139 137 33
120 83 55
40 98 64
112 8 51
179 31 76
151 107 48
133 142 43
100 106 11
196 0 87
68 142 8
69 101 58
170 161 92
165 93 49
133 58 27
156 120 49
189 39 15
189 151 8
85 25 94
194 2 62
61 114 89
131 26 71
160 81 66
45 96 55
16 157 71
174 53 82
54 151 77
197 157 20
1 48 10
157 147 44
34 152 19
74 15 59
60 188 28
148 83 36
13 172 32
149 89 29
105 144 51
75 46 98
196 111 9
163 170 32
107 18 53
163 177 24
150 63 64
43 162 38
144 167 49
172 45 28
25 95 80
85 100 28
163 153 40
24 141 70
52 159 74
71 33 12
199 20 89
39 191 41
40 179 92
92 177 91
188 42 23
28 108 12
72 177 42
7 188 31
190 42 31
100 7 19
94 34 86
79 34 88
159 124 86
40 2 66
69 68 28
156 105 55
36 42 34
62 70 58
115 155 60
140 28 60
19 129 36
198 34 28
167 193 46
49 192 79
122 188 91
108 68 18
160 69 85
105 138 11
62 34 3
48 112 77
143 14 73
171 152 41
193 123 56
134 190 78
7 166 61
180 13 96
180 83 24
177 19 72
57 174 24
27 9 15
12 138 75
196 156 26
42 139 53
155 30 11
5 146 76
75 49 81
143 169 95
194 19 7
186 79 16
87 104 59
96 157 15
60 55 80
141 148 13
115 141 41
182 113 9
108 17 25
198 189 80
193 77 51
53 189 57
32 107 90
109 114 85
20 113 4
162 139 99
58 63 23
188 77 62
123 127 66
125 97 1
66 169 71
90 137 48
129 110 48
191 79 98
50 147 49
167 4 36
117 159 43
54 175 10
86 61 73
48 94 97
61 170 36
73 116 25
0 75 53
11 113 95
59 185 91
98 137 47
93 68 45
117 143 16
95 88 17
36 16 35
115 80 96
88 189 91
69 143 24
37 10 58
190 73 8
102 153 43
13 128 97
169 178 23
149 91 89
115 22 59
45 192 50
161 121 2
197 78 14
55 186 5
180 39 98
170 133 90
39 163 100
72 49 31
30 180 39
43 86 26
25 198 81
122 167 36
182 172 59
159 73 20
190 188 66
132 56 45
147 70 86
47 157 50
44 52 52
107 90 10
54 62 8
55 31 90
179 21 68
13 126 53
76 73 52
114 134 81
13 50 27
11 57 11
167 32 96
172 23 36
187 108 30
42 151 53
109 95 86
147 91 64
188 6 76
102 13 59
139 191 68
167 161 76
182 195 35
116 62 17
146 38 83
33 133 93
117 174 24
35 49 25
142 33 33
27 194 13
180 188 12
87 56 37
23 31 60
100 25 48
84 184 10
184 194 22
3 0 99
43 82 28
127 141 73
79 116 82
2 34 9
139 127 24
40 75 9
12 60 1
14 74 46
20 129 6
142 149 28
17 167 26
74 28 38
26 115 74
78 4 99
144 177 13
181 87 8
87 107 95
71 86 71
144 50 60
144 180 84
13 63 9
30 108 94
44 15 15
92 70 20
48 128 32
1 163 10
99 106 98
129 73 23
35 108 96
22 134 67
76 41 58
142 44 75
50 33 49
134 47 17
77 18 43
50 66 9
115 54 2
98 185 13
170 174 82
163 101 68
24 170 46
199 119 94
92 118 59
53 154 84
77 198 77
174 41 79
90 78 23
113 17 77
176 27 61
2 70 1
140 56 16
183 48 33
63 185 92
181 108 73
136 183 66
158 145 54
132 137 89
198 192 24
142 108 30
149 109 23
93 22 54
59 112 11
94 32 21
57 72 52
39 132 12
31 135 17
15 16 75
55 55 18
22 161 50
162 92 13
55 53 75
29 150 63
153 141 36
5 81 13
151 35 33
34 173 84
167 96 10
99 127 83
61 177 34
151 65 53
166 167 17
14 135 63
148 140 81
31 124 27
16 138 78
145 113 4
198 92 40
127 118 54
125 70 69
145 144 68
42 99 39
75 53 67
161 80 3
130 111 95
20 119 17
185 95 84
126 29 80
187 97 14
138 153 40
56 13 1
45 185 2
118 72 81
46 48 34
197 62 71
23 56 82
89 74 36
51 49 26
40 142 68
175 177 6
115 180 78
183 96 25
187 45 57
127 42 17
50 2 58
33 146 34
160 94 48
125 188 90
57 8 11
80 190 36
151 92 35
66 188 66
86 105 38
124 119 31
197 101 24
14 113 41
82 56 59
128 37 59
68 185 50
64 55 54
20 78 90
173 60 12
187 8 43
111 192 21
72 122 13
169 49 20
25 94 76
165 129 15
192 177 59
25 178 4
186 135 85
189 140 62
18 196 56
15 49 73
129 186 51
28 35 16
158 129 86
73 136 71
145 90 8
170 154 52
173 49 95
12 44 64
70 47 17
2 134 59
6 71 85
37 181 25
3 51 28
169 108 21
8 134 72
3 18 85
101 44 32
167 160 56
50 65 3
131 22 16
169 2 74
101 156 31
7 134 53
25 0 3
185 104 62
36 57 41
90 29 74
114 133 31
159 59 43
26 122 13
116 14 31
151 33 57
78 148 2
22 22 27
99 111 74
163 172 81
13 19 56
22 191 91
86 181 38
164 18 90
195 164 62
141 182 71
61 4 72
170 170 87
68 113 57
7 114 84
90 89 52
153 52 13
79 60 15
134 139 86
47 53 89
43 98 2
76 46 51
142 11 59
82 98 78
140 177 73
151 148 69
103 67 32
69 37 66
10 171 70
41 38 43
97 53 85
67 193 5
111 61 25
162 78 39
163 79 69
142 170 34
61 81 78
134 91 10
62 111 1
22 112 63
60 101 10
84 83 53
179 198 23
28 190 77
104 132 47
84 136 36
69 83 13
153 13 31
30 83 93
33 5 33
197 77 94
87 11 57
172 117 23
129 12 77
24 175 100
33 153 90
103 143 39
54 19 94
84 178 82
134 6 91
158 53 8
67 51 63
47 2 25
26 88 45
23 188 25
52 80 35
3 39 47
71 135 54
157 42 40
9 136 46
25 165 77
99 174 79
4 113 54
66 0 5
148 1 85
182 52 61
199 164 25
45 33 47
153 114 68
58 187 88
164 152 74
13 131 96
169 8 1
138 131 3
186 52 47
168 19 58
27 74 95
75 24 81
120 164 25
75 190 88
82 190 92
48 91 55
52 191 59
90 55 25
66 114 92
171 95 61
46 20 51
25 69 84
32 2 8
15 53 75
154 15 58
98 183 100
110 128 17
145 117 40
60 73 9
164 1 60
70 56 15
78 5 73
91 164 37
140 62 100
194 186 81
107 150 1
9 106 95
120 49 1
16 137 20
37 119 20
96 126 82
175 35 21
177 95 73
20 34 83
196 183 20
178 51 66
52 116 74
169 102 5
132 31 46
49 160 65
112 83 71
1 28 46
169 137 83
161 4 47
50 72 26
111 163 1
